,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
10921,25-44,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10922,45+,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10923,18-24,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10924,25-44,30,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10925,45+,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10926,18-24,390,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10927,25-44,910,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10928,45+,270,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10929,18-24,100,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10930,25-44,660,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10931,45+,180,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10932,18-24,230,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10933,25-44,660,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10934,45+,260,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10935,18-24,40,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10936,25-44,450,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10937,45+,270,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10938,18-24,110,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10939,25-44,250,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
