,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
8701,25-44,11000,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8702,45+,2800,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8703,18-24,250,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8704,25-44,1700,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8705,45+,450,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8706,18-24,1100,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8707,25-44,4500,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8708,45+,810,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8709,18-24,330,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8710,25-44,820,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8711,45+,160,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8712,18-24,3100,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8713,25-44,7400,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8714,45+,240,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8715,18-24,70,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8716,25-44,200,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8717,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8718,18-24,6100,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8719,25-44,18000,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8720,45+,900,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8721,18-24,570,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8722,25-44,650,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8723,45+,40,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8724,18-24,1100,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8725,25-44,2500,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8726,45+,80,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8727,18-24,50,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8728,25-44,100,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8729,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8730,18-24,300,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8731,25-44,1400,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8732,45+,120,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8733,18-24,50,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8734,25-44,240,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
