,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
2348,45+,340,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2349,18-24,140,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2350,25-44,570,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2351,45+,250,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2352,18-24,570,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2353,25-44,810,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2354,45+,270,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2355,18-24,190,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2356,25-44,530,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2357,45+,180,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2358,18-24,6600,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2359,25-44,17000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2360,45+,2100,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2361,18-24,2700,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2362,25-44,9700,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2363,45+,1200,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2364,18-24,6100,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2365,25-44,12000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2366,45+,2600,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2367,18-24,3200,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2368,25-44,7900,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2369,45+,1500,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2370,18-24,3300,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2371,25-44,4300,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2372,45+,660,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2373,18-24,2100,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2374,25-44,2500,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2375,45+,310,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2376,18-24,4300,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2377,25-44,20000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2378,45+,2800,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2379,18-24,1900,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2380,25-44,9500,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2381,45+,1300,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2382,18-24,5700,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2383,25-44,15000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2384,45+,3400,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2385,18-24,3000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2386,25-44,9400,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2387,45+,2000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2388,18-24,2200,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2389,25-44,5000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2390,45+,990,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2391,18-24,1400,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2392,25-44,2800,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2393,45+,430,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2394,18-24,950,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,EG
2395,25-44,1800,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,EG
2396,45+,300,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,EG
2397,18-24,440,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,EG
2398,25-44,670,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,EG
