,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
13023,18-24,180,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13024,25-44,300,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13025,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13026,18-24,160,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13027,25-44,640,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13028,45+,40,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13029,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13030,25-44,70,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13031,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13032,18-24,410,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13033,25-44,4500,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13034,45+,780,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13035,18-24,890,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13036,25-44,13000,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13037,45+,2900,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13038,18-24,290,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13039,25-44,1400,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13040,45+,540,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13041,18-24,650,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13042,25-44,4400,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
