,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
6664,25-44,3600,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6665,45+,430,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6666,18-24,1200,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6667,25-44,3300,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6668,45+,690,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6669,18-24,560,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6670,25-44,2600,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6671,45+,630,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6672,18-24,500,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6673,25-44,1200,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6674,45+,210,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6675,18-24,500,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6676,25-44,980,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6677,45+,180,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6678,18-24,210,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6679,25-44,360,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6680,45+,90,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6681,18-24,180,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6682,25-44,290,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6683,45+,30,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6684,18-24,60,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6685,25-44,180,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6686,45+,0,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6687,18-24,80,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6688,25-44,160,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6689,45+,30,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6690,18-24,140,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,EG
6691,25-44,50,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,EG
6692,45+,0,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,EG
6693,18-24,60,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,EG
6694,25-44,0,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,EG
6695,45+,0,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,EG
6696,18-24,90,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6697,25-44,110,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6698,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6699,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6700,25-44,40,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6701,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,EG
6702,18-24,90,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6703,25-44,120,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6704,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,EG
6705,18-24,50,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,obesity,EG
