,ages_ranges,genders,behavior,scholarities,audience,topic,location
2144,45+,1.0,Locals,Graduated,1000,Peace,District of Columbia
2145,18-24,2.0,Locals,Graduated,720,Peace,District of Columbia
2146,25-44,2.0,Locals,Graduated,3400,Peace,District of Columbia
2147,45+,2.0,Locals,Graduated,2000,Peace,District of Columbia
2148,18-24,1.0,Locals,No Degree,50,Peace,District of Columbia
2149,25-44,1.0,Locals,No Degree,210,Peace,District of Columbia
2150,45+,1.0,Locals,No Degree,320,Peace,District of Columbia
2151,18-24,2.0,Locals,No Degree,60,Peace,District of Columbia
2152,25-44,2.0,Locals,No Degree,530,Peace,District of Columbia
2153,45+,2.0,Locals,No Degree,900,Peace,District of Columbia
2154,18-24,1.0,Locals,High School,450,Peace,District of Columbia
2155,25-44,1.0,Locals,High School,450,Peace,District of Columbia
2156,45+,1.0,Locals,High School,250,Peace,District of Columbia
2157,18-24,2.0,Locals,High School,660,Peace,District of Columbia
2158,25-44,2.0,Locals,High School,780,Peace,District of Columbia
2159,45+,2.0,Locals,High School,820,Peace,District of Columbia
2160,18-24,1.0,Expats,Graduated,2100,Peace,Florida
2161,25-44,1.0,Expats,Graduated,13000,Peace,Florida
2162,45+,1.0,Expats,Graduated,9400,Peace,Florida
2163,18-24,2.0,Expats,Graduated,2700,Peace,Florida
2164,25-44,2.0,Expats,Graduated,23000,Peace,Florida
2165,45+,2.0,Expats,Graduated,24000,Peace,Florida
2166,18-24,1.0,Expats,No Degree,1400,Peace,Florida
2167,25-44,1.0,Expats,No Degree,8400,Peace,Florida
2168,45+,1.0,Expats,No Degree,5100,Peace,Florida
2169,18-24,2.0,Expats,No Degree,1800,Peace,Florida
2170,25-44,2.0,Expats,No Degree,11000,Peace,Florida
2171,45+,2.0,Expats,No Degree,14000,Peace,Florida
2172,18-24,1.0,Expats,High School,1500,Peace,Florida
2173,25-44,1.0,Expats,High School,5700,Peace,Florida
2174,45+,1.0,Expats,High School,3400,Peace,Florida
2175,18-24,2.0,Expats,High School,3100,Peace,Florida
2176,25-44,2.0,Expats,High School,9400,Peace,Florida
2177,45+,2.0,Expats,High School,9300,Peace,Florida
2178,18-24,1.0,Locals,Graduated,3200,Peace,Florida
2179,25-44,1.0,Locals,Graduated,20000,Peace,Florida
2180,45+,1.0,Locals,Graduated,35000,Peace,Florida
2181,18-24,2.0,Locals,Graduated,8000,Peace,Florida
2182,25-44,2.0,Locals,Graduated,64000,Peace,Florida
2183,45+,2.0,Locals,Graduated,110000,Peace,Florida
2184,18-24,1.0,Locals,No Degree,1900,Peace,Florida
2185,25-44,1.0,Locals,No Degree,6100,Peace,Florida
2186,45+,1.0,Locals,No Degree,12000,Peace,Florida
2187,18-24,2.0,Locals,No Degree,5000,Peace,Florida
2188,25-44,2.0,Locals,No Degree,17000,Peace,Florida
2189,45+,2.0,Locals,No Degree,39000,Peace,Florida
2190,18-24,1.0,Locals,High School,3800,Peace,Florida
2191,25-44,1.0,Locals,High School,12000,Peace,Florida
2192,45+,1.0,Locals,High School,18000,Peace,Florida
2193,18-24,2.0,Locals,High School,13000,Peace,Florida
2194,25-44,2.0,Locals,High School,36000,Peace,Florida
2195,45+,2.0,Locals,High School,66000,Peace,Florida
2196,18-24,1.0,Expats,Graduated,650,Peace,Georgia
2197,25-44,1.0,Expats,Graduated,3500,Peace,Georgia
2198,45+,1.0,Expats,Graduated,1500,Peace,Georgia
2199,18-24,2.0,Expats,Graduated,610,Peace,Georgia
2200,25-44,2.0,Expats,Graduated,4600,Peace,Georgia
2201,45+,2.0,Expats,Graduated,3600,Peace,Georgia
2202,18-24,1.0,Expats,No Degree,470,Peace,Georgia
2203,25-44,1.0,Expats,No Degree,2500,Peace,Georgia
2204,45+,1.0,Expats,No Degree,830,Peace,Georgia
2205,18-24,2.0,Expats,No Degree,510,Peace,Georgia
2206,25-44,2.0,Expats,No Degree,2600,Peace,Georgia
2207,45+,2.0,Expats,No Degree,2200,Peace,Georgia
2208,18-24,1.0,Expats,High School,490,Peace,Georgia
2209,25-44,1.0,Expats,High School,1400,Peace,Georgia
2210,45+,1.0,Expats,High School,540,Peace,Georgia
2211,18-24,2.0,Expats,High School,910,Peace,Georgia
2212,25-44,2.0,Expats,High School,2000,Peace,Georgia
2213,45+,2.0,Expats,High School,1100,Peace,Georgia
2214,18-24,1.0,Locals,Graduated,1800,Peace,Georgia
2215,25-44,1.0,Locals,Graduated,10000,Peace,Georgia
2216,45+,1.0,Locals,Graduated,15000,Peace,Georgia
2217,18-24,2.0,Locals,Graduated,4700,Peace,Georgia
2218,25-44,2.0,Locals,Graduated,36000,Peace,Georgia
2219,45+,2.0,Locals,Graduated,50000,Peace,Georgia
2220,18-24,1.0,Locals,No Degree,900,Peace,Georgia
2221,25-44,1.0,Locals,No Degree,2600,Peace,Georgia
2222,45+,1.0,Locals,No Degree,5700,Peace,Georgia
2223,18-24,2.0,Locals,No Degree,2500,Peace,Georgia
2224,25-44,2.0,Locals,No Degree,7800,Peace,Georgia
2225,45+,2.0,Locals,No Degree,19000,Peace,Georgia
2226,18-24,1.0,Locals,High School,1900,Peace,Georgia
2227,25-44,1.0,Locals,High School,6000,Peace,Georgia
2228,45+,1.0,Locals,High School,8400,Peace,Georgia
2229,18-24,2.0,Locals,High School,7700,Peace,Georgia
2230,25-44,2.0,Locals,High School,22000,Peace,Georgia
2231,45+,2.0,Locals,High School,34000,Peace,Georgia
2232,18-24,1.0,Expats,Graduated,130,Peace,Hawaii
2233,25-44,1.0,Expats,Graduated,610,Peace,Hawaii
2234,45+,1.0,Expats,Graduated,740,Peace,Hawaii
2235,18-24,2.0,Expats,Graduated,190,Peace,Hawaii
2236,25-44,2.0,Expats,Graduated,1300,Peace,Hawaii
2237,45+,2.0,Expats,Graduated,1400,Peace,Hawaii
2238,18-24,1.0,Expats,No Degree,90,Peace,Hawaii
2239,25-44,1.0,Expats,No Degree,390,Peace,Hawaii
2240,45+,1.0,Expats,No Degree,330,Peace,Hawaii
2241,18-24,2.0,Expats,No Degree,100,Peace,Hawaii
2242,25-44,2.0,Expats,No Degree,530,Peace,Hawaii
2243,45+,2.0,Expats,No Degree,990,Peace,Hawaii
2244,18-24,1.0,Expats,High School,150,Peace,Hawaii
2245,25-44,1.0,Expats,High School,280,Peace,Hawaii
