,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
207,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,9200,45+
208,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,26000,45+
209,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,95000,45+
210,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,45000,45+
211,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,17000,45+
212,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,1300,45+
213,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,10000,45+
214,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,7500,45+
215,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,27000,45+
216,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,530,45+
217,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,760,45+
218,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,29000,45+
219,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,530,45+
220,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,32000,45+
221,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,2000,45+
222,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,2700,45+
223,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,HS,3200,45+
224,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,73000,45+
225,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,360000,45+
226,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,140000,45+
227,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,43000,45+
228,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,4500,45+
229,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,32000,45+
230,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,26000,45+
231,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,85000,45+
232,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,1600,45+
233,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,2900,45+
234,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,79000,45+
235,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,1700,45+
236,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,79000,45+
237,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,6700,45+
